order_id,distance_km,package_weight_kg,traffic_index,weather,time_of_day,driver_experience_years,vehicle_type,shipment_volume,delivery_time_min,cost_inr
ORD1000,6.58,,1,Clear,Afternoon,,Truck,2,34.2,88.63
ORD1001,4.21,1.13,6,Rain,Evening,9.0,Bike,2,35.0,42.94
ORD1002,3.91,3.14,4,Fog,Evening,2.2,Van,3,37.9,50.67
ORD1003,3.91,8.52,4,Clear,Night,2.5,Bike,2,29.6,50.25
ORD1004,12.41,0.83,6,Fog,Afternoon,10.7,Bike,1,53.8,60.97
ORD1005,7.81,3.41,7,Clear,Morning,9.0,Van,1,40.1,76.3
ORD1006,3.24,3.49,9,Clear,Night,10.9,Bike,2,30.3,31.45
ORD1007,6.78,4.62,10,Clear,Night,9.2,Bike,2,37.7,54.79
ORD1008,5.54,0.49,5,Clear,Morning,7.2,Bike,2,33.7,48.79
ORD1009,0.71,4.4,9,Clear,Night,7.9,Bike,5,34.5,31.7
ORD1010,-1.0,8.39,4,Clear,Afternoon,10.7,Van,1,17.5,62.06
ORD1011,5.82,0.69,10,Clear,Evening,7.0,Truck,3,48.3,91.08
ORD1012,11.68,0.95,2,Rain,Afternoon,7.7,Bike,6,65.5,65.86
ORD1013,3.94,,3,Rain,Morning,2.0,Bike,2,36.4,56.2
ORD1014,3.04,0.7,1,Clear,Morning,5.8,Bike,1,15.8,23.19
ORD1015,5.06,6.74,6,Clear,Night,8.7,Bike,2,31.8,45.93
ORD1016,2.9,2.37,6,Clear,Afternoon,3.4,Van,1,32.8,57.7
ORD1017,3.74,0.99,1,Clear,Afternoon,2.6,Van,1,21.8,50.27
ORD1018,4.62,7.16,3,Clear,Morning,3.9,Bike,4,33.4,38.8
ORD1019,1.91,2.06,5,Clear,Afternoon,3.0,Bike,3,25.0,39.18
ORD1020,8.08,2.53,3,Clear,Morning,2.7,Bike,2,34.3,58.54
ORD1021,1.62,1.56,10,Fog,Afternoon,5.2,Van,4,39.0,47.97
ORD1022,1.44,3.15,3,Clear,Afternoon,10.9,Truck,5,30.4,65.87
ORD1023,5.37,,10,,Afternoon,,Bike,1,37.2,
ORD1024,7.67,1.74,3,Clear,Morning,2.4,Bike,4,34.3,54.11
ORD1025,5.28,12.21,5,Clear,Night,1.1,Truck,2,51.4,96.38
ORD1026,4.28,1.05,5,Clear,Afternoon,8.4,Truck,3,39.7,78.7
ORD1027,3.71,3.74,4,Clear,Morning,4.7,Bike,1,22.7,31.69
ORD1028,3.26,1.38,1,Clear,Morning,9.9,Bike,2,13.9,32.03
ORD1029,9.29,5.2,5,Clear,Afternoon,8.0,Bike,1,41.9,69.69
ORD1030,5.86,0.49,10,Fog,Afternoon,9.6,Van,4,54.1,56.61
ORD1031,3.47,12.25,5,Rain,Night,3.4,Bike,3,32.3,60.49
ORD1032,2.72,2.12,4,Clear,Morning,8.4,Bike,3,30.0,25.42
ORD1033,7.08,0.94,6,Clear,Morning,3.3,Van,1,35.8,64.85
ORD1034,9.15,0.27,10,Clear,Evening,11.3,Bike,2,48.5,53.55
ORD1035,8.63,0.65,4,Clear,Morning,7.7,Van,2,40.7,71.32
ORD1036,2.35,2.57,7,Clear,Night,4.0,Bike,3,35.5,38.58
ORD1037,-1.0,1.44,7,Clear,Evening,3.4,Bike,4,33.1,30.74
ORD1038,3.21,6.18,2,Clear,Evening,2.5,Van,4,34.5,55.5
ORD1039,4.06,1.97,3,Clear,Evening,8.4,Bike,3,25.5,41.28
ORD1040,8.03,1.0,1,clear,Afternoon,2.8,Truck,1,34.3,95.69
ORD1041,11.0,3.36,8,Fog,Afternoon,7.2,Van,3,64.9,87.12
ORD1042,6.01,4.29,9,Fog,Morning,3.3,Bike,1,44.9,44.85
ORD1043,2.79,0.64,4,Rain,Evening,8.0,Van,3,29.0,47.32
ORD1044,4.55,0.64,6,Clear,Night,9.8,Bike,4,33.2,43.73
ORD1045,12.31,0.13,9,Rain,Afternoon,9.4,Truck,2,74.2,103.85
ORD1046,4.97,4.67,6,Clear,Night,9.2,Bike,4,37.1,42.39
ORD1047,3.72,3.82,9,Rain,Night,2.4,Van,2,47.2,47.28
ORD1048,3.96,2.25,4,Clear,Afternoon,1.2,Bike,1,21.4,40.69
ORD1049,6.0,6.51,8,Rain,Afternoon,8.4,Bike,4,54.7,59.09
ORD1050,2.41,5.73,9,Clear,Afternoon,4.5,Van,1,28.9,52.8
ORD1051,3.15,3.08,4,Rain,Afternoon,5.3,Van,3,23.9,47.82
ORD1052,8.54,7.09,5,Fog,Evening,0.6,Bike,3,52.6,59.62
ORD1053,5.88,0.81,8,Clear,Evening,3.3,Bike,4,39.6,42.43
ORD1054,5.01,0.42,10,Clear,Evening,0.6,Van,1,42.0,55.17
ORD1055,8.82,1.1,6,Fog,Evening,10.6,Truck,4,66.9,103.25
ORD1056,2.66,0.21,7,Clear,Morning,3.1,Bike,3,36.0,26.14
